_id,title,currentPrice,shippingCost,calculateShipping,totalPrice,dateQueried,endDate,location,country,bidCount,listingType,bestOffer,buyItNowAvailable,conditionId,conditionDisplayName,timeLeft
252565474942,2 HOUSTON ASTROS CUSTOM VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECALS,6,0,false,6,2016-10-31T07:30:35.168Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":20,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474962,CUSTOM LA KINGS NHL HOCKEY VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:35.170Z,2016-10-31T16:24:39.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":21,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474970,CUSTOM RONALDO FIFA SOCCER VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:35.171Z,2016-10-31T16:24:39.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":21,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474971,THUNDER CATS CUSTOM REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL ,4,0,false,4,2016-10-31T07:30:35.173Z,2016-10-31T16:24:39.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":21,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
182299326217,CUSTOM STAR WARS LIGHTSABER REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:35.175Z,2016-10-31T16:24:39.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":21,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
182299326191,2 ATLANTA FALCONS NFL CUSTOM VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECALS,6,0,false,6,2016-10-31T07:30:35.176Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":20,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474955,2 BLANK REMOVABLE PLAYSTATION 4 LIGHTBAR DECALS (BLOCKS THE LIGHTBAR),4,0,false,4,2016-10-31T07:30:35.178Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":20,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
182299326193,CUSTOM WHITE SAMURAI FULL SYSTEM DECAL FOR PLAYSTATION 4,15,6,false,21,2016-10-31T07:30:35.180Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":20,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
172229484039,PS4 SKIN PLAYSTATION 4 CONSOLE SKIN DECAL STICKER THE WALKING DEAD EDITION SET,14.95,0,false,14.95,2016-10-31T07:30:36.685Z,2016-11-01T01:38:57.000Z,"Champlain,NY,USA",US,NaN,StoreInventory,true,false,1000,New,"{""milliseconds"":0,""seconds"":37,""minutes"":6,""hours"":18,""days"":0,""months"":0,""years"":0}"
172051955787,PS4 PLAYSTATION 4 CONSOLE SKIN DECAL STICKER GAME OF THRONES CUSTOM DESIGN SET,14.95,0,false,14.95,2016-10-31T07:30:36.688Z,2016-10-31T20:15:14.000Z,"Champlain,NY,USA",US,NaN,StoreInventory,true,false,1000,New,"{""milliseconds"":0,""seconds"":54,""minutes"":42,""hours"":12,""days"":0,""months"":0,""years"":0}"
252565474928,SAN ANTONIO SPURS BASKETBALL CUSTOM VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:38.658Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":17,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
322304866591,SONY PLAYSTATION 4 500 GB BLACK CONSOLE,299,0,false,299,2016-10-31T07:30:38.663Z,2016-10-31T16:41:06.000Z,"Richmond,VA,USA",US,0,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":45,""minutes"":8,""hours"":9,""days"":0,""months"":0,""years"":0}"
